text,word_frequency,prediction
efecto recubrimiento químico semilla tres especie consumo ardilla gris factor limitar éxito dispersión semilla fin reforestación consumo fauna silvestre propuesto recubrimiento peletizado producto químico repelente consumidor determinar efecto ardilasgrís sciurus aureogaster ofrecer semilla recubierta pinus ayacahuite cembroides enterolobium cyclocarpum prueba pareada realizado vivero coyoacán evaluar tres tratamiento peletizado especie componente activo ser condicionante aversivo cloruro litio fungicido dicarboximido insecticido lambda cyalotrina conservador benzoato sodio localizar ardilla presentar dos semilla recubrimiento químico tratamiento proceder mismo manera tres taxa forestal número ardilla considerado ser ico dato analizar prueba mcnemar determinar frecuencia consumo semilla peletizada peletizar ser igual haber diferencia significativo ayacahuite cembroid ninguno semilla cyclocarpum ser consumir observar dos patrón general conducta abrir testa duro ingerir embrión enterrar semilla lograr romper eliminar testa comer imposibilitar efecto recubrimiento semilla animal sufrir efecto aversivo esperado pildorado especie forestal evaluada controlar daño consumo ardilla,"{'semilla': 8, 'efecto': 4, 'recubrimiento': 4, 'consumo': 4, 'ardilla': 4, 'ser': 4, 'químico': 3, 'tres': 3, 'especie': 3, 'peletizado': 2, 'determinar': 2, 'ayacahuite': 2, 'cyclocarpum': 2, 'prueba': 2, 'tratamiento': 2}",fp
potencial almacenamiento carbono área forestal sistema ganadero rápido aumento producción ganadero provocar impacto ambiental deforestación pérdida biodiversidad degradación suelo emisión gas efecto invernadero gei chiapa dicho emisión haber aumentar especialmente conversión tierra forestal pastizal fermentación entérico ganado remoción atmosférico actividad forestal agroforestal dentro unidad producción ganadero poder reducir significativamente principal objetivo investigación ser conocer potencial almacenamiento carbono área forestal conocer contribución mitigación gei dentro unidad producción ganadero villaflores chiapa establecer parcela muestreo área forestal potrero evaluar carbono biomasa vivo aéreo biomasa raíz hojarasca madera muerto carbono orgánico suelo promedio almacenamiento carbono área forestal ser comparar potrero almacén carbono biomasa vivo esperar ser alto área forestal potrero haber diferencia significativo reservorio carbono orgánico suelo rancho estudio poseer superficie área forestal alto diversidad especie arbórea decidir deforestar establecer pastura contribuir emisión resultado permitir estimar remoción anual carbono futuro remedición,"{'carbono': 8, 'forestal': 8, 'área': 6, 'ganadero': 4, 'almacenamiento': 3, 'producción': 3, 'suelo': 3, 'emisión': 3, 'ser': 3, 'potrero': 3, 'biomasa': 3, 'potencial': 2, 'gei': 2, 'chiapa': 2, 'haber': 2}",fp
efecto araña arachnido araneae depredadora insecto plaga cultivo alfalfa medicago sativo fabaceae argentino araña ser depredadora capaz reducir población insecto plaga agroecosistema medir selectividad frente distinto presa realizar ensayo consumo diario efecto depredador aisladamente conjunto número preso efecto indirecto depredador vegetación utilizar jaula experimental cubierto fino malla plástico misumenops pallidus oxyopes salticu araneu ser utilizar depredador generalista áfido gorgojo larva lepidóptera crisomélido ortóptero presa potencial araña preferir larva lepidóptero frente curculiónido áfido consumo máximo larva lepidóptero ser áfido curculiónido índice tres especie araña demostrar selectividad positivo sólo larva defoliadora salticu presentar tasa consumo mayor rachiplusio ser especie consumido valor máximo consumo registrado ser salticu frente asociación varios especie araña depredadora incrementar total insecto capturado presencia araña provocar disminución número hoja dañado efecto larva lepidóptero plaga,"{'araña': 6, 'ser': 5, 'larva': 5, 'efecto': 4, 'consumo': 4, 'depredadora': 3, 'insecto': 3, 'plaga': 3, 'frente': 3, 'depredador': 3, 'salticu': 3, 'áfido': 3, 'lepidóptero': 3, 'especie': 3, 'selectividad': 2}",fp
efecto severidad quemado regeneración vegetación monte austral fuego fenómeno recurrente ecosistema norte patagonio ocurrir fundamentalmente luego serie año húmedo promover crecimiento pasto acumulación material combustible fino resultar secuencia año húmedo facilitar ocurrencia incendio conocimiento cómo regeneración vegetación limitado objetivo trabajo ser evaluar efecto severidad quemado evolución post fuego distinto grupo funcional vegetación arbusto pasto perenn pasto anual dos estación crecimiento posterior fuego área ubicado provincia río negro provincia fitogeográfico monte evaluar cobertura grupo coberturo pasto anual superar testigo incendiado primero estación crecimiento posterior incendio sitio menor mientras sitio mayor producir segundo estación coberturo pasto perennes regenerar segundo año severidad quemado mientras arbusto recuperar menos mitad cobertura original aumento inicial relación pasto arbusto producido luego incendio favorecer actividad ganadero embargo poder existir impacto negativo suelo erosión pérdido fertilidad deber evaluar generar práctica manejo fuego,"{'pasto': 6, 'fuego': 4, 'severidad': 3, 'quemado': 3, 'vegetación': 3, 'año': 3, 'crecimiento': 3, 'incendio': 3, 'evaluar': 3, 'arbusto': 3, 'estación': 3, 'efecto': 2, 'regeneración': 2, 'monte': 2, 'luego': 2}",fp
proteger espina arbustiva nido ave depredación análisis experimental estepa patagónico depredación nido presión selección importante ave elección sitio nidificación clave supervivencia polluelo evaluar manera experimental presencia espina arbusto contribuir protección depredación nido trabajo desarrollar cerca ciudad san carlos bariloche argentina ambiente estepa patagónico colocar nido artificial arbusto rosa mosqueta modificar forma experimental densidad espina arbusto completamente libre espina tasa general depredación ser cercano resultar afectado densidad espina discutimos posible causa elección arbusto espinoso sitio nidificación,"{'espina': 5, 'nido': 4, 'depredación': 4, 'arbusto': 4, 'experimental': 3, 'ave': 2, 'estepa': 2, 'patagónico': 2, 'elección': 2, 'sitio': 2, 'nidificación': 2, 'densidad': 2, 'proteger': 1, 'arbustiva': 1, 'análisis': 1}",fp
renovar medida evaluar diversidad comunidad ecológico número especie efectivo murciélago sureste tabasco méxico estudio analizar compar diversidad especie propiedad estructurar comunidad especialmente sugerir prioridad conservación año reciente haber proponer medida robusto poder ayudar lograr mejor manera objetivo trabajo evalúa diversidad especie verdadero base riqueza especie número especie efectivo comunidad estudio caso analizar cambio diversidad murciélago filostómido zona selvo zona vegetación secundario sur tabasco méxico riqueza diversidad resultar ser mayor remanent selva promedio vegetación secundario albergar especie menos diversidad murciélago selvo principal ventaja número especie efectivo facilidad poder evaluar directamente magnitud cambio diversidad comunidad,"{'diversidad': 7, 'especie': 7, 'comunidad': 4, 'número': 3, 'efectivo': 3, 'murciélago': 3, 'medida': 2, 'evaluar': 2, 'tabasco': 2, 'méxico': 2, 'estudio': 2, 'analizar': 2, 'poder': 2, 'riqueza': 2, 'cambio': 2}",fp
seguridad alimentario medio ambiente hábito consumo agricultura ganaderío tener impacto ambiental enorme crecer día día artículo anterior destacar rol biodiversidad producción agropecuario utilizar ejemplo polinizador aquí enfocar debatir dimensión seguridad alimentario importancia cambio hábito consumo ciudad modificar uso tierro zona rural minimizar huella ambiental mientras impacto ambiental agro justificado comúnmente necesidad mayor producción lograr seguridad alimentario dimensión acceso alimento correcto utilización jugar papel clave hoy día ejemplo mundo haber persona problema nutricional asociado sobrepeso desnutrición además aumentar producción cierto país desarrollado implicar mayor alimento aquel lugar pobre deficiencia alimentario población mundial comer menos carne proveniente animal ser engordar grano feedlot reducir impacto ambiental incluir menor emisión gas efecto invernadero clave identificar origen carne consumir haber sistema producción carne menor impacto ambiental cambiar dieta alguno sector población modo evitar exceso consumo carne poder además evitar muerte menor obesidad así menor incidencia enfermedad coronario accidente cerebro vascular diabet mellitus tipo último aumentar mundo tasa epidémica camino hacia seguridad alimentario sustentabilidad polifacético incluir modificar forma distribuimos utilizamo alimento destinar mayor proporción gran legumbr consumo humano lugar animal reducir desperdicio comida modificar dieta,"{'alimentario': 5, 'ambiental': 5, 'seguridad': 4, 'consumo': 4, 'impacto': 4, 'producción': 4, 'carne': 4, 'menor': 4, 'día': 3, 'modificar': 3, 'mayor': 3, 'alimento': 3, 'hábito': 2, 'ejemplo': 2, 'dimensión': 2}",fp
pastoreo sistema extensivo patagonio sur percepción manejo heterogeneidad producción ganadero extensivo patagonio sur realizar pastoreo gran superficie escaso receptividad animal fragilidad ambiental elevado manejo histórico pastoreo fin siglo xix causar desertificación paisaje gran parte territorio diferente esfuerzo institucional buscar mejorar manejo pastizal través adecuar carga animal obstante heterogeneidad paisaje dentro permitir animal concentrir lugar preferir contexto desarrollo recomendación técnico controlar pastoreo heterogéneo requerir conocimiento actualizado percepción productor frente problemática llevar adelante encuesta productor ganadero extensivo santa cruz objetivo caracterizar manejo realizar pastoreo criterio diseño visión problema pastoreo heterogéneo porcentaje alto productor detectar problemática sólo aplicar tecnología enfrentar conjunto productor mostrar conocer gran variedad tecnología embargo entrevistado señalar diverso limitant determinar tecnología consolidir práctica uso común sistema extensivo producción patagonio sur seguir llevar adelante mayormente bajo esquema mínimo intervención paisaje tal inicio posible ser necesario revisar sistema transferencia tecnológico institución investigación extensión imprescindible participar diseñar implementar política orientado proveer instrumento idóneo incentivar promover apoyar monitorear adopción tecnologío,"{'pastoreo': 6, 'extensivo': 4, 'manejo': 4, 'productor': 4, 'sistema': 3, 'patagonio': 3, 'sur': 3, 'gran': 3, 'animal': 3, 'paisaje': 3, 'tecnología': 3, 'percepción': 2, 'heterogeneidad': 2, 'producción': 2, 'ganadero': 2}",fp
regeneración natural sitio manglar degradado respuesta restauración hidrológico manglar laguna término campeche haber ser afectar pérdida conexión hidrológico paso tormenta huracán objetivo trabajo ser evaluar regeneración natural manglar área degradado después haber implementar acción restauración hidrológico establecer tres sitio muestreo diferente tiempo restauración año año sitio manglar natural conservado referencia muestreo realizar año evaluó densidad altura sobrevivencio tasa crecimiento plántula así característica ambiental relación vegetación característica ambiental realizar mediante regresión lineal simple análisis escalamiento multidimensional determinar dispersión propágulo respecto manglar natural generar modelo lineal mixto densidad propágulo distancia tiempo restauración resultado demostrar distanciar respecto manglar natural afectar densidad propágulo concentración fosfato relacionar sobrevivencia plántula mientras concentración amonio concentración sulfuro relacionar negativamente densidad plántula acción restauración hidrológico influir establecimiento desarrollo vegetación manglar zona manglar natural restauración hidrológico facilitar dispersión propágulo hacia zona degradado resaltar importancia contemplar área natural dentro proyecto restauración,"{'manglar': 8, 'natural': 7, 'restauración': 7, 'hidrológico': 5, 'densidad': 4, 'propágulo': 4, 'sitio': 3, 'degradado': 3, 'año': 3, 'plántula': 3, 'concentración': 3, 'regeneración': 2, 'haber': 2, 'ser': 2, 'afectar': 2}",fp
rendimiento poblacional rotífero nativo brachionus caymar utilizar diferente enriquecedor rotífero brachionus spp ser cultivar utilizado alimento vivo larva pez crustáceo mundo objetivo evaluar rendimiento poblacional rotífero nativo brachionus cayman cepa chilca perú realizar prueba enriquecimiento largo utilizar cuatro enriquecedor suplemento alimenticio comercial marol protein hufa selcon easy super selco así microalga nannochloropsis oculata suplemento control cada tratamiento realizar triplicado tanque litro determinar fecundidad tasa crecimiento poblacional productividad obtenido cada tratamiento anova mostrar diferencia estadístico tratamiento enriquecedor protein hufa presentar mejor resultado cuanto huevo indiv densidad final indiv día rot día,"{'poblacional': 3, 'rotífero': 3, 'brachionus': 3, 'enriquecedor': 3, 'tratamiento': 3, 'rendimiento': 2, 'nativo': 2, 'utilizar': 2, 'realizar': 2, 'suplemento': 2, 'protein': 2, 'hufa': 2, 'cada': 2, 'indiv': 2, 'día': 2}",fp
diversidad murciélago ambient ribereño selva pedemontana yunga jujuy argentino ambiente ribereño ser importante conservar fauna habitar usar corredor área fragmentada murciélago explotar elemento paisaje diferencialmente ambiente ribereño resultar útil satisfacer varios requerimiento ecológico evaluar diversidad murciélago insectívoro frugívoro ambient ribereño selva pedemontán provincia jujuy argentino colindant bosque nativo arb cultivo arc así dieta versus disponibilidad recurso alimenticio cada tipo ambiente octubre enero usar red niebla capturar murciélago trampa pegajosa estimar riqueza abundancio insecto volador realizar ocho transecta contabilizar fruto quiropterofílico capturar murciélago ocho especie completitud ser superior ambos ambiente riqueza arb arc ser mismo aunque composición especie ser disímil arb registrar dominancia marcado especie frugívora sturnirar lilium contrariamente arc listo ser encabezar especie insectívoro molossops temminckii abundancia individuo ser bajo arb oferta recurso alimenticio disminuir arc observar cambio composición estructura ensamble murciélago sugerir además proteger ambiente ribereño necesario completar estrategia conservación preservación fragmento bosque nativo adyacente,"{'murciélago': 6, 'ser': 6, 'ribereño': 5, 'ambiente': 5, 'arb': 4, 'arc': 4, 'especie': 4, 'diversidad': 2, 'ambient': 2, 'selva': 2, 'jujuy': 2, 'argentino': 2, 'usar': 2, 'insectívoro': 2, 'bosque': 2}",fp
nido artificial asociado pago servicio ambiental comunidad maya campeche característica atributo social implementación nido artificial constituir estrategia conservación ave silvestr área comunitario vinculado pago servicio ambiental pes méxico embargo estrategia nido artificial carecer directriz técnico oficial implementación exigir consecuencia capacidad actor local llevar cabo contexto socioambiental específico aquí describimos nido artificial vinculado pes resaltar capacidad local percepción social subyacer estrategia conservación comunidad maya campeche méxico base observación campo entrevista semiestructurada aplicado persona local campesino pescador participar psa encontrar nido artificial registrado ser considerar solo entrevistado sitio anidación menos especie ave regional resultado mostrar actualidad característica ubicación especie objetivo asociado nido artificial depender solo habilidad capacidad interesado local,"{'nido': 6, 'artificial': 6, 'local': 4, 'estrategia': 3, 'capacidad': 3, 'asociado': 2, 'pago': 2, 'servicio': 2, 'ambiental': 2, 'comunidad': 2, 'maya': 2, 'campeche': 2, 'característica': 2, 'social': 2, 'implementación': 2}",fp
interacción humano oso andino bold tremarctos ornatus bold perú consumo cultivo depredación ganado sec title introducción title oso andino italic tremarctos ornatus italic ser cazar época incaico ser considerar animal dañino depredador vicuña guanaco posteriormente llegada español ganar vacuno traído proporcionar nuevo abundante fuente alimento oso conllevar fortalecer percepción poblador hacia oso depredador tener cuenta poder tratar evento carroñero asimismo extender cultivo maíz oso aprovechar actualidad seguir reportar interacción presente trabajo buscar base entrevista campesino obtener información cómo cuándo dónde producir interacción así conocer percepción especie asimismo discutir conocimiento interacción úrsido experiencia mitigación país sec sec title metodología title año visitar comunidad región perú ubicado área aledaña zona amortiguamiento área protegido registro presencia oso andino realizar entrevista personal principalmente cazador agricultor ganadero aplicar entrevista semi estructurado preguntar básicamente fecha hora lugar tipo interacción ganado cultivo tipo registro observación rastro especie cultivo consumido animal depredado descripción evento ingresar oso solitario grupo edad oso etc motivo cacería sec sec title resultado title obtener registro cacería oso poblado área protegido evaluada señalar cazar oso considerar perjudicial alimentar cultivo atacar ganado reportar cultivo consumido ser maíz principal cinco especie ganado ser vacuno frecuentemente depredado frecuencia año ataque ser variable realizado mayormente macho adulto solitario trece persona asegurar haber presenciar total diez evento ataque dar descripción detallado mientras tres persona comentar observar comportamiento carroñeo sec sec title discusión conclusión title ingreso oso cultivo maíz evento oportunista debido alimento alto nivel energía proteína fácil acceder principalmente área adyacente bosque premontano montano lado bien existir investigación confirmar depredación ganado vacuno venezuela colombia ecuador bolivia perú aún hecho estudio respecto embargo persona proporcionar información detallado observación coincidir investigación país confirmar depredación perú debido ambos hecho ser fuerte motivo cacerío oso andino ser importante realizar diverso investigación conocer causa alguno oso depredar ganado ingresar cultivo asimismo deber trabajar conjuntamente comunidad plantear medida mitigación acorde condición cada lugar buscar reducir interacción cacería especie sec,"{'oso': 13, 'cultivo': 8, 'sec': 8, 'title': 8, 'ser': 7, 'interacción': 6, 'ganado': 6, 'andino': 4, 'perú': 4, 'evento': 4, 'especie': 4, 'área': 4, 'depredación': 3, 'vacuno': 3, 'asimismo': 3}",fp
consecuencia ruptura mutualismos planta animal distribución especie vegetal isla balear modificación hábitat poder ser introducción especie animal exótico desplazar nativa reducir población conduciéndola extinción poder resultar ruptura interacción especie poder haber evolucionar millón año sistema insular ser especialmente vulnerable dicho perturbación ser normalmente menos complejo poseer menor número especie continental presente trabajo documentir consecuencia tener desaparición interacción planto dispersor después introducción mamífero carnívoro isla balear población dos arbusto cneorum tricoccon distribución microareal mediterráneo occidental daphne rodriguezii texidor endémico isla menorca mientras primero carnívoro haber reemplazar dispersor lagartija nativo modificar notablemente distribución especie especialmente mallorca ruptura mutualismo planta lagartija parecer haber ser dramático segundo reducir drásticamente población excepto islote lagartija aún persistir,"{'especie': 5, 'ser': 4, 'ruptura': 3, 'distribución': 3, 'isla': 3, 'poder': 3, 'población': 3, 'haber': 3, 'lagartija': 3, 'consecuencia': 2, 'planta': 2, 'animal': 2, 'balear': 2, 'introducción': 2, 'reducir': 2}",fp
determinación falla sembrar comercial algarrobo blanco prosopis albar vivero santiago estero trabajo reportar relevamiento falla sembrar comercial algarrobo blanco prosopis albar vivero santiago estero ciclo producción objetivo determinar porcentaje falla condición real trabajo escenario experimental analizar posible factor influencia modalidad cantero sembrar tradicional campaña tipo semilla utilizado tratamiento pregerminativo considerar tres tratamiento diferente repetición cada cantero tradicional semilla tratamiento cantero tradicional semilla tratamiento cantero campaña semilla tratamiento muestreo sistemático parcela superficie permitir medir variable número falla total envase sembrado evaluar diferencia tratamiento anova recurrir transformación dato arco seno raíz proporción falla resultado indicar existir diferencia altamente significativo diferente tratamiento comparación medio aritmética evidenciar respuesta diferente germinación vivero según tratamiento tratar proporción promedio falla embargo atribuir resultado determinado factor aconsejable planificar ensayo experi mental presente situación posible ser objetivo vivero momento tomar dato,"{'tratamiento': 8, 'falla': 6, 'vivero': 4, 'cantero': 4, 'semilla': 4, 'sembrar': 3, 'tradicional': 3, 'diferente': 3, 'comercial': 2, 'algarrobo': 2, 'blanco': 2, 'prosopis': 2, 'albar': 2, 'santiago': 2, 'estero': 2}",fp
