Title,Publication_type,Journal,Abstract,PMID
Manejo del conflicto entre carnívoros y ganadería en Patagonia utilizando perros mestizos protectores de ganado,Scientific article,Mastozoología Neotropical,"El conflicto entre carnívoros nativos y ganado en Argentina es manejado principalmente matando carnívoros, una estrategia ineficiente para proteger ganado y con consecuencias ecológicas negativas. En el norte de Patagonia, donde productores de escasos recursos crían cabras y ovejas, este conflicto es la mayor amenaza para el gato andino (Leopardus jacobita). Para mitigar el conflicto y conservar a este felino satisfaciendo las percepciones y condicionamientos de pobladores rurales encuestamos a los productores y probamos un método de protección utilizando perros mestizos que se crían con el ganado. Las mayores pérdidas reportadas de ganado se debieron al zorro culpeo (Lycalopex culpaeus) y puma (Puma concolor). De 2005 a 2013 la crianza de 58 perros por 45 productores (rebaños promedio de 379 cabras, DE = 184) entrenó satisfactoriamente 28 perros (48% de éxito). Dieciséis de 18 crianceros (89%) con perros protectores reportaron reducción en ataques a ganado y 86% dejaron de cazar carnívoros nativos. En un grupo control de 9 productores sin perros, 8 (89%) reportaron similar o mayor depredación de ganado y todos continuaron cazando carnívoros nativos. El costo anual promedio de mantenimiento de cada perro fue 183 dólares, 7% de las pérdidas promedio de ganado. Los perros mestizos utilizados fueron de menor tamaño (15-20 kilos) y más económicos para mantener que razas protectoras tradicionales (30-55 kilos). Su éxito reduciendo pérdidas estimadas de ganado y caza de carnívoros nativos dependió especialmente del interés y capacitación de los productores para entrenarlos, ambos facilitados por la difusión de la experiencia de productores exitosos.",Positive
Aplicación de la Ley para el Combate del Tráfico Ilegal de Vida Silvestre en México: El caso de Charco Cercado,Scientific article,Therya,"El tráfico ilegal es uno de los principales factores que afecta a las poblaciones nativas de vida silvestre. En México, ésta actividad ilícita ha sido poco estudiada. Este artículo describe el caso de Charco Cercado, localidad de San Luis Potosí, que ha sido un ejemplo de impunidad en el comercio ilegal de flora y fauna. La descripción histórica abarca de 1970 a 2011, considera los eslabones de la cadena ilícita, la diferenciación por sexo y edad de las personas que realizaban el comercio, los puestos de venta instalados a la orilla de la Carretera Federal 57. Las especies movilizadas y las acciones gubernamentales realizadas de fomento y de aplicación de la ley. La forma y organización en que se realizaba ésta actividad ilegal, era similar para cualquier clase de especies de vertebrados, razón por la cual se consideran a todos los grupos de fauna comercializados ilegalmente. Se describen los impactos recientes logrados en el combate del tráfico ilegal de vida silvestre en Charco Cercado, resaltando el hecho de que todos los puestos instalados han
sido destruidos y las principales personas dedicadas al tráfico de ejemplares, productos
y subproductos, detenidas y sujetas a procesos legales. Los resultados documentan por
lo menos 51 especies de fauna silvestre, de las cuales seis son reptiles, 32 aves y 13
mamíferos. Se ofrecen algunas recomendaciones para lograr eliminar definitivamente el
tráfico ilegal de vida silvestre en Charco Cercado y otras Regiones de México.",Positive
La liebre amenazada Lepus flavigularis prefiere establecer sus sitios de alimentación y descanso en potreros con presencia de ganado,Scientific article,Therya,"Lepus flavigularis Wagner 1844 (Liebre de Tehuantepec), es una especie endémica del sur de Oaxaca, México. Actualmente considerada como la liebre en mayor peligro de extinción en todo el mundo. En Santa María del Mar, en Oaxaca, la liebre habita en pastizales abiertos, compartiendo su hábitat con el ganado doméstico (Bos taurus); nuestra hipótesis es que L. flavigularis prefiere establecer sus sitios de alimentación y de descanso en potreros donde el ganado está presente. Se registró el número de liebres radio-marcadas y sin marcar que establecieron sus sitios de alimentación y de descanso en potreros con presencia y ausencia de ganado bovino y se llevó a cabo un análisis composicional de la preferencia de hábitat. L. flavigularis prefiere establecer sus sitios de alimentación (ʎ = 0.8010, P = 0.0020) y sitios de descanso (ʎ = 0,6605, P = 0,016) en potreros con presencia de ganado. La selección de estos sitios se puede atribuir al hecho de que la presencia de ganado puede funcionar como un sistema de alarma contra posibles depredadores, mientras que el pastoreo del ganado podría en sí promover especies palatables de Poaceae que forman parte de la dieta local de este leporido. Esta información es clave para la creación de planes de manejo para ambas especies y su ecosistema. Se requiere un estudio a largo plazo para determinar la viabilidad de la cohabitación de la liebre y el ganado. Proponemos que un programa de rotación de ganado eficiente podría contribuir a la conservación de esta población de liebres.",Positive
"Radioseguimiento post recuperación de erizos europeos (Erinaceus europaeus Linnaeus, 1758) en el Parque Natural de la Sierra de Collserola (Barcelona)",Scientific article,Galemys,"El erizo europeo Erinaceus europaeus Linnaeus, 1758, se encuentra en regresión en el Parque Natural de la Sierra de Collserola por causas diversas, como la pérdida de hábitat debido a la urbanización y el impacto de las infraestructuras, el efecto barrera y los atropellos en la red viaria, entre otros factores. Entre 2006 y 2008 se realizó un trabajo de radioseguimiento de 15 erizos (7 ♂♂ y 8 ♀♀) procedentes del Centro de Recuperación de Fauna de la Estación Biológica de Can Balasc, con el objetivo de: (i) conocer la capacidad de adaptación y supervivencia de los individuos recuperados una vez liberados; (ii) comparar su respuesta dispersiva en función del lugar de suelta; y (iii) caracterizar las distintas problemáticas a las que se enfrenta para incidir en su conservación. Los erizos liberados en zona forestal se dispersaron significativamente más lejos durante los días posteriores a su liberación, en contraste con los ejemplares liberados en proximidad a masías, con o sin torrentes colindantes. No obstante, con el tiempo, los ejemplares liberados tienden a mostrar áreas de dispersión similares, independiente del lugar de suelta. Las áreas de dispersión varían considerablemente, entre 5 y 100 ha (promedio 55,3±117,0 ha), pero con casos extremos de 0,21 ha y 465 ha. De promedio, la distancia máxima de dispersión fue de 1 km, con un máximo absoluto de 3,9 km. Hubo una tendencia de dispersión hacia las áreas del ecotono más periféricas y periurbanas del parque. La dispersión hacia dichas áreas y su uso tiene consecuencias para los erizos, debido al límite abrupto que existe entre el espacio protegido y la zona urbana, y los peligros que esta última conlleva. De los 15 erizos seguidos fue posible confirmar la muerte de por lo menos cinco de ellos (33%) durante los primeros dos meses posteriores a su liberación, las causas específicas de mortalidad son variadas y similares a las de ingreso al centro de recuperación: ataque por parte de carnívoros, atropello, accidente en una zona industrial y causas desconocidas. Se indican recomendaciones en relación a los lugares de suelta con el objetivo de minimizar la dispersión y mortalidad, y también sobre el ingreso de erizos sanos en los centros de recuperación por parte de ciudadanos bienintencionados.",Positive
Ocupación de cajas-refugio por murciélagos en el parque de Salburua (Vitoria-Gasteiz),Scientific article,Galemys,"El parque de Salburua (Vitoria-Gasteiz) es un humedal que constituye un buen cazadero de insectos para murciélagos, pero que presenta escasez de refugios, lo que puede ser un factor limitante para las poblaciones de murciélagos. Por ello, en 2008 se colocaron en dicho parque 95 cajas-refugio específicas para estos mamíferos (modelos 1FF, 1FW, 2F de doble pared y 2FN de la marca Schwegler). Las cajas han sido revisadas entre 2010 y 2015 para conocer las especies que las ocupan y sus preferencias. Se han encontrado cuatro especies de murciélagos: Pipistrellus pygmaeus, Pipistrellus kuhlii, Nyctalus leisleri y Myotis daubentonii. La primera es dominante, con el 86% de las observaciones y es la única que se ha encontrado durante todo el año. La ocupación de las cajas ha crecido progresivamente con los años, alcanzando el 38% en septiembre de en 2015. Comparando el modelo 2F de doble pared con el 2FN, el primero es el más utilizado. La insolación influye además positiva y significativamente en la ocupación de las cajas. Se ha comprobado que la presencia de ratones, aves, avispas o abejorros reduce o impide la ocupación de las cajas, por lo que se recomienda su revisión y limpieza periódicas.",Positive
EFECTO DE DIFERENTES DIETAS SOBRE LA GANANCIA DE PESO DE INDIVIDUOS EN CAUTIVERIO DE AGOUTI PACA (RODENTIA: AGOUTIDAE),Scientific article,Revista Mexicana de Mastozoologia,"El tepezcuintle o paca (Agouti paca) es una especie que ha sufrido una intensa cacería en todo su ámbito de distribución, por lo que han surgido esfuerzos para la producción de animales en cautiverio como medio para reducir esta presión. Sin embargo, aún se desconocen aspectos básicos sobre la cría en cautiverio de esta especie y otros son contradictorios, como por ejemplo el tipo de dieta más apropiada. Por lo que el objetivo del trabajo es determinar el efecto de cinco tipos de dieta con diferentes proporciones de proteína sobre el crecimiento de tepezcuintles criados en cautiverio. Se escogieron cinco criaderos de fauna silvestre en la Región Atlántica de Costa Rica, asignando en cada uno una dieta distinta y seleccionando cuatro machos de tres meses de edad. Los pesos de los 20 animales val inicio del estudio fluctuaron entre 3.1 y 4.2 kg y al final entre 6.0 y 8.1 kg. El peso de los tepezcuintles aumentó rápidamente hasta los 210 días. No se encontraron diferencias entre pesos promedio de individuos expuestos a cada dieta, aunque una dieta con una concentración balanceada de proteína pareció brindar mejores resultados. Al comparar los pesos promedios con los de otros estudios, los obtenidos en este trabajo fueron los más altos. Este estudio generó conocimiento sobre los requerimientos proteínicos de tepezcuintles en cautiverio.",Positive
"DISPERSIÓN, SUPERVIVENCIA Y REPRODUCCIÓN DE LA PAVA ALIBLANCA Penelope albipennis
TACZANOWSKI, 1877 (CRACIDAE) REINTRODUCIDA A SU HÁBITAT NATURAL EN PERÚ",Scientific article,Ecología Aplicada,"La pava aliblanca (Penelope albipennis) es un crácido endémico de los bosques secos del
noroeste del Perú y se encuentra críticamente amenazado de extinción debido a la cacería y
destrucción del hábitat. En el año 2000 se estableció el programa de reintroducción de esta especie.
Este consistió en la liberación de individuos nacidos en cautiverio en el zoocriadero Barbara
D’Achille en áreas donde la especie hubiera desaparecido con anterioridad y que en el presente
aseguraran su conservación.
Entre Septiembre de 2001 y Julio de 2003 fueron liberados un total de 20 pavas aliblancas en el
Área de Conservación Privada Chaparrí, Lambayeque, Perú. La adaptación de las aves al lugar fue
medida mediante su dispersión, supervivencia y reproducción.
Se ha determinado en base a la distancia de dispersión, que es factible conectar la población
reintroducida con las poblaciones silvestres aledañas. Con respecto a la supervivencia, evaluada a
los dos años después de la liberación ha sido del 55%. En cuanto a la reproducción, se ha obtenido
tres polluelos nacidos en libertad de padres reintroducidos.",Positive
"Murciélagos (Mammalia: Chiroptera)  en áreas naturales y reforestadas en Rancho Alegre, Paraná, Brasil",Scientific article,Revista de Biología Tropical,"En general, los ambientes naturales se han transformado en pequeños remanentes de bosques, con la consiguiente pérdida de hábitat y la extinción de especies. El estado de Paraná Norte no es una excepción, ya que solo 2 a 4% del ecosistema original se encuentra en pequeños fragmentos de Bosque Semidecidual Estacional. Estudiamos la riqueza de especies y la abundancia de murciélagos en dos fragmentos de bosque de Fazenda Congonhas, en la ciudad de Rancho Alegre, estado de Paraná, Brasil. Se realizaron cuatro muestreos en un área nativa legalmente protegida (107.8ha) y en un área reforestada (11.8ha) entre abril de 2007 y marzo de 2008. Los muestreos comenzaron al anochecer y duraron seis horas, durante dos noches consecutivas en cada ubicación. Los individuos fueron capturados usando ocho redes de niebla, con el mismo esfuerzo de captura en ambos entornos. Un total de 397 individuos, 14 especies y 10 géneros fueron capturados en el área nativa; mientras que en el área reforestada, 105 individuos, seis especies y cuatro géneros. Artibeus lituratus fue la especie más común en ambos fragmentos (n = 328, 65.3%), seguida de Artibeus fimbriatus (n = 44, 8.8%) y Artibeus jamaicensis (n = 30, 6.0%). Otras especies, entre ellas Platyrrhinus lineatus, Carollia perspicillata, Sturnira, lilium, Chrotopterus auritus, Desmodus rotundus, Michronycteris megalotis, Phyllostomus, oceos, gimniosis, gimniosis, mallas, y otras partes de la propiedad, Phyllostomus dis-colour, Myoti levis, Myotiis y otras partes de la casa de campo. El área nativa presentó valores más altos de riqueza de especies (S = 14) y diversidad (H '= 1.4802) en comparación con el área reforestada (S = 6, H' = 0.57015). La prueba t demostró una diferencia significativa entre la diversidad entre los sitios (t = 7.1075). El índice Chao 1 indicó que el esfuerzo de muestreo registró aproximadamente el 78% de la riqueza total de especies para el área nativa y el 75% para el área reforestada. Por lo tanto, la preservación del fragmento de bosque es esencial ya que proporciona hábitat para una comunidad diversa de murciélagos. El manejo forestal y las acciones de reforestación pueden prevenir cambios drásticos en el microclima de las áreas vecinas dentro del fragmento de bosque, y podrían permitir la ocupación de nichos disponibles en el área, por especies oportunistas y generalistas.",Positive
Mortalidad embrionaria y éxito de eclosión en huevos de Trachemys scripta (Testudines: Emydidae) incubados en un área natural protegida,Scientific article,Revista de Biología Tropical,"En el noreste de Costa Rica, la recolección ilegal, la destrucción del hábitat y la gran depredación 011 hembras adultas, jóvenes y huevos de Trachemys scripta produjeron una disminución de la población en los últimos años. El deslizador pequeño tiene un alto potencial de reproducción y los nidos se reubicaron. Entre enero y marzo de 1991, se recolectaron 179 nidos (3220 huevos) del área natural del Refugio Nacional de Vida Silvestre Caño Negro, Costa Rica, y se reubicaron para su incubación en condiciones naturales en un sitio protegido. La media del número de huevos por embrague fue de 19.5 ± 4.5 (rango de 8 a 31) y la media de incubación perlod fue de 77.4 ± 11.4 días (rango de 50 a 110 días). El éxito medio de eclosión fue de 89.6 ± 3.4% (rango 60.0 a 100%). La mortalidad embrionaria media temprana y media fue de 5,5 ± 4,3%, la mortalidad embrionaria tardía promedio fue de 8,5 ± 3,5% y la infertilidad 1,8 ± 1,0%.",Positive
"PROGRAMA EDUCATIVO CON ÉNFASIS EN EL NO USO DE
AGROQUÍMICOS EN LA COMUNIDAD DE MOHENA
CAÑO, BELÉN, MAYNAS, PERÚ",Scientific article,Gestión Ambiental,"Este trabajo se ha realizado en la Comunidad de Mohena Caño durante el período 2004 y 2005 con el fin
de continuar con la aplicación del Programa Educativo con énfasis en el no uso de Agroquímicos
iniciado el año 2003. La metodología utilizada para este proceso estuvo basada en la experimentación,
la cual ha permitido diseñar y aplicar el programa educativo y obtener resultados sobre el impacto
producido, logrando cumplir en su totalidad con la aplicación del programa. Al finalizar el presente
proyecto y con la participación constante de los agricultores se logró que el 100% manifestara haber
ganado experiencia en la aplicación de estas nuevas tecnologías ecológicas para el control de plagas
(uso de trampas de color y de luz) y enfermedades (empleo de extractos de plantas biocida); y el 30%
indica haber experimentado por primera vez in situ el beneficio de estas tecnologías; notándose que el
cambio de actitud de los participantes fluctuó del 67 al 100% hacia el uso de las nuevas alternativas
ecológicas (uso de trampas y de extractos de plantas biocidas).",Positive
"REINTRODUCCION DE ESPECIES
Y REFORZAMIENTO DE POBLACIONES
EN LA CONSERVACION DE AVES EN ESPARA",Scientific article,Ardeola,"En este trabajo se presentan los criterios que normalmente se utilizan para evaluar iniciativas de reintroducción o reforzamiento de poblacion, así como las fases de las que constan estos proyectos y los métodos que se aplican para liberar los ejemplares. Se comenta como ejemplo de un caso concreto el del quebrantahuesos en los Alpes y se expresan algunas evaluaciones del éxito/fracaso de un elevado número de reintroducciones en todo el mundo. Finalmente, se pasa revista a los proyectos que
se llevan a cabo actualmente en España. ",Positive
